input_hex,input_dec,output_hex,output_dec
0x01F2,498,0xF069,61545
0x01F3,499,0xC7B0,51120
0x01F4,500,0x92C7,37575
0x01F5,501,0x20FD,8445
0x01F6,502,0xAE40,44608
0x01F7,503,0x9D51,40273
0x01F8,504,0x0CC0,3264
0x01F9,505,0xC3D2,50130
0x01FA,506,0x3829,14377
0x01FB,507,0x3164,12644
0x01FC,508,0x6C1B,27675
0x01FD,509,0x00CC,204
0x01FE,510,0x5A5A,23130
0x01FF,511,0x6C1B,27675
0x0200,512,0x0770,1904
0x0201,513,0x4B87,19335
0x0202,514,0xEEEE,61166
0x0203,515,0x5270,21104
0x0204,516,0x0E97,3735
0x0205,517,0x0011,17
0x0206,518,0x1C94,7316
0x0207,519,0xDB8E,56206
0x0208,520,0x8EDB,36571
0x0209,521,0x14C9,5321
0x020A,522,0x39D7,14807
0x020B,523,0x5533,21811
0x020C,524,0xA479,42105
0x020D,525,0x12ED,4845
0x020E,526,0x7315,29461
0x020F,527,0x186F,6255
0x0210,528,0x5AC3,23235
0x0211,529,0xB23A,45626
0x0212,530,0x6446,25670
0x0213,531,0x4C4C,19532
0x0214,532,0x67EF,26607
0x0215,533,0x28B1,10417
0x0216,534,0x9FCA,40906
0x0217,535,0x9988,39304
0x0218,536,0xBACD,47821
0x0219,537,0x3E6B,15979
0x021A,538,0x9AA9,39593
0x021B,539,0xD65E,54878
0x021C,540,0xBC43,48195
0x021D,541,0xB902,47362
0x021E,542,0x924F,37455
0x021F,543,0x192A,6442
0x0220,544,0x2A2A,10794
0x0221,545,0x3571,13681
0x0222,546,0x8D05,36101
0x0223,547,0x94A7,38055
0x0224,548,0x0819,2073
0x0225,549,0x3E94,16020
0x0226,550,0xDB42,56130
0x0227,551,0xDAF8,56056
0x0228,552,0x1F0E,7950
0x0229,553,0x6701,26369
0x022A,554,0xA2F7,41719
0x022B,555,0x96D2,38610
0x022C,556,0x7DE4,32228
0x022D,557,0xBACD,47821
